Подразделение,Магазин ID,Наименование магазина,Бюджет товарооборот,Среднемесячный товарооборот,План золото 2026,Доход золото. Коэффициент 6%,План серебро 2026,Доход серебро. Коэффициент 9%,План Аксессуары 2026,Доход Аксессуары. Коэффициент 6%,План кожа 2026,План кожзам и товары с коэффициентом обуви 
Сочи,10812.0,"Сочи, ТЦ Мелодия",71866328.46500003,5988860.705416669,776956.5393082215,46617.39235849329,400000.0,36000.0,856957.0839920068,51417.42503952041,1824720.245829608,2130226.8362868335
Кавказ,10816.0,"Ставрополь, ТЦ Европейский-2",86891898.38250001,7240991.531875,0.0,0.0,401194.34904936596,36107.491414442935,858644.8666852979,51518.69200111787,2121447.99410505,3859704.322035286
Сочи,10849.0,"Сочи, ТЦ Бирюза",50707090.51562702,4225590.876302252,0.0,0.0,409729.9084958181,36875.691764623625,721944.1861171747,43316.65116703048,741202.2701560333,2352714.5115332254
Кавказ,10879.0,"Ставрополь, ТРЦ Европейский",109481438.05499992,9123453.171249993,1183618.546356195,71017.11278137169,459862.9739256011,41387.667653304095,1219098.8211910785,73145.9292714647,2935063.237735306,3325809.592041814
Кавказ,10888.0,"Ставрополь, ТРЦ Москва",88706972.90134606,7392247.741778838,1002369.3616747035,60142.16170048221,417477.7639024135,37572.998751217216,885772.8107527815,53146.368645166884,2036654.1417925186,3049973.6636564215
Сочи,10933.0,"Сочи, ТЦ 10Дарья",35655368.604999974,2971280.717083331,0.0,0.0,400000.0,36000.0,473363.3393972259,28401.80036383355,373325.2927369903,1724592.0849491148
Ростов,10942.0,"Новочеркасск, ТЦ Батон",68603005.41249998,5716917.117708332,0.0,0.0,400000.0,36000.0,694498.4529570504,41669.907177423025,1579903.0779948288,3042515.586756453
Кавказ,10956.0,"Каспийск, ТЦ Ривьера",62933408.30057345,5244450.691714454,0.0,0.0,412253.4697061341,37102.81227355207,681894.718341613,40913.683100496775,782560.9862557115,3367741.517410996
Ростов,10969.0,"Шахты, ОДЦ Город будущего",58934420.26749998,4911201.688958332,0.0,0.0,400000.0,36000.0,731718.7344372753,43903.124066236516,1079416.2534000108,2700066.701121046
Кавказ,10985.0,"Ставрополь, ТРЦ Мегацентр Kosmos",155587955.9724999,12965662.997708326,1682082.3104843362,100924.93862906017,825823.3218080417,74324.09896272374,1574623.7196817577,94477.42318090546,3063254.57268073,5819879.073053459
Кавказ,11047.0,"Махачкала, ТЦ",40326213.65,3360517.8041666667,0.0,0.0,400000.0,36000.0,409491.3345794959,24569.48007476975,427549.1192612718,2123477.350325899
Сочи,11127.0,"Майкоп, ул. Пролетарская д.211Б",71686063.15901804,5973838.596584837,775007.666848968,46500.46001093808,400000.0,36000.0,735576.8003213651,44134.608019281906,1647456.6711818501,2415797.458232654
Черноморское,11160.0,"Кропоткин, ул. Ворошилова д.22А",71457073.07999995,5954756.089999996,943309.6646378675,56598.579878272045,400000.0,36000.0,512070.8550805285,30724.25130483171,907258.9156133359,3192116.654668264
Черноморское,11188.0,"Аксай, Торговый комплекс",30895392.692499988,2574616.0577083323,0.0,0.0,0.0,0.0,349243.8411082507,20954.630466495044,508128.3257452119,1717243.8908548695
Ростов,11193.0,"Белая Калитва, ул. Ростовская д.1",50692877.78749994,4224406.482291662,614160.6138480428,36849.63683088257,559526.9570103651,50357.42613093286,401935.85587720684,24116.15135263241,346793.5502069694,2301989.505349078
Ростов,11208.0,"Азов, ул. Мира д. 22",49926865.52170804,4160572.1268090033,0.0,0.0,436366.59612720326,39272.99365144829,489798.3605307431,29387.901631844583,1021395.6605785612,2213011.5095724957
Черноморское,11209.0,"Курганинск, ул.Комсомольская д.87",38923816.98999999,3243651.415833332,0.0,0.0,400000.0,36000.0,489434.62913540495,29366.077748124295,467777.51854959247,1886439.2681483345
Сочи,11240.0,"Крымск, ул. Троицкая д.121А",38720942.512499996,3226745.2093749996,0.0,0.0,400000.0,36000.0,366677.20198912366,22000.632119347418,585300.5894994331,1874767.417886443
